機能区分,機能名,概要,対象商流,URLパス
商品探索・閲覧,商品一覧・検索,カテゴリ、キーワードによる商品検索・フィルタリング,全て,/search
商品探索・閲覧,商品詳細,商品画像、スペック、価格、在庫状況の表示,全て,/products/[id]
商品探索・閲覧,商品比較,複数の商品を並べてスペックや価格を比較,全て,/compare
商品探索・閲覧,WEBカタログ,デジタルカタログ形式での商品閲覧,Wholesale?,/catalog
商品探索・閲覧,特集・キャンペーン,季節の特集やセール情報の表示,全て,/campaigns
商品探索・閲覧,新着・ランキング,新着商品や売れ筋ランキングの表示,全て,/ranking
商品探索・閲覧,Maestro TV,商品紹介動画や活用事例などの動画コンテンツ,全て,/tv
購買・注文,カート機能,商品の追加、数量変更、削除。ログイン/未ログイン対応,全て,/cart
購買・注文,クイックオーダー,品番と数量を直接入力して一括カート投入（多行入力）,TOC/Wholesale,/quick-order
購買・注文,見積もり作成,カート商品または指定商品からの見積書発行依頼・履歴管理,Wholesale/TOC,/quotations
購買・注文,特注・特別注文,カタログ外商品やカスタマイズ品の注文依頼,Wholesale/TOC,/special-order
購買・注文,チェックアウト,配送先指定、配送日時指定、決済方法選択,全て,/checkout
購買・注文,決済方法,クレジットカード、銀行振込、請求書払い（掛け払い）,商流による,-
会員・アカウント,認証,ログイン、新規登録、パスワードリセット,全て,/login
会員・アカウント,マイページ,ダッシュボード、注文履歴、会員情報管理,全て,/mypage
会員・アカウント,お気に入り,気になる商品の保存・管理,全て,/favorites
会員・アカウント,アドレス帳,複数の配送先住所の登録・管理,全て,/mypage/address
会員・アカウント,ポイント管理,ポイントの獲得・利用履歴の確認,TOC/Retail,/mypage/points
会員・アカウント,会員ランク,購入実績に応じた会員ランク表示（価格連動）,TOC/Wholesale,-
BtoB/商流独自機能,マルチプライス,商流（TOC/卸/小売）ごとに異なる単価を表示,全て（自動切替）,-
BtoB/商流独自機能,ボリュームディスカウント,数量に応じた段階的な割引価格の適用,Wholesale,-
BtoB/商流独自機能,ディーラー機能,TOCディーラー向けの特別価格・情報の表示,TOC,-
BtoB/商流独自機能,ロールベース制御,ユーザー権限（親会員/子会員など）による機能制限,Wholesale,-
コンテンツ・サポート,Webマガジン,記事コンテンツ、読み物,全て,/magazine
コンテンツ・サポート,FAQ,よくある質問と回答,全て,/faq
コンテンツ・サポート,ヘルプセンター,ご利用ガイド、操作マニュアル,全て,/help
コンテンツ・サポート,お問い合わせ,お問い合わせフォーム,全て,/contact
システム・基盤,SEO最適化,メタデータ自動生成、構造化データ (JSON-LD)、サイトマップ,-,-
システム・基盤,パフォーマンス最適化,画像最適化、コード分割、SSR/SSG対応,-,-
システム・基盤,ヘッドレス連携,Composer APIを通じたバックエンドとのデータ連携,-,-
